Americanize Americanized Americanizing Americanizes
cage caged caging cages
cajole cajoled cajoling cajoles
cake caked caking cakes
cakewalk cakewalked cakewalking cakewalks
calcify calcified calcifying calcifies
calcimine calcimined calcimining calcimines
calcine calcined calcining calcines
calculate calculated calculating calculates
calendar calendared calendaring calendars
calender calendered calendering calenders
calibrate calibrated calibrating calibrates
caliper calipered calipering calipers
calk calked calking calks
call called calling calls
calliper callipered callipering callipers
callous calloused callousing callouses
callus callused callusing calluses
calm calmed calming calms
calumniate calumniated calumniating calumniates
calve calved calving calves
cam cammed camming cams
camber cambered cambering cambers
camouflage camouflaged camouflaging camouflages
camp camped camping camps
campaign campaigned campaigning campaigns
camphorate camphorated camphorating camphorates
can could canned |
canalize canalized canalizing canalizes
candidate candidated candidating candidates
candle candled candling candles
candy candied candying candies
cane caned caning canes
canker cankered cankering cankers
cannibalise cannibalised cannibalising cannibalises
cannibalize cannibalized cannibalizing cannibalizes
cannon cannoned cannoning cannons
cannonade cannonaded cannonading cannonades
canoe canoed canoing, 2
canonize canonized canonizing canonizes
canoodle canoodled canoodling canoodles
canopy canopied canopying canopies
cant canted canting cants
canter cantered cantering canters
cantilever cantilevered cantilevering cantilevers
cantillate cantillated cantillating cantillates
canton cantoned cantoning cantons
canvass canvassed canvassing canvasses
capacitate capacitated capacitating capacitates
caparison caparisoned caparisoning caparisons
cape caped caping capes
caper capered capering capers
capitalize capitalized capitalizing capitalizes
capitulate capitulated capitulating capitulates
caponize caponized caponizing caponizes
capriole caprioled caprioling caprioles
capsize capsized capsizing capsizes
capsule capsuled capsuling capsules
capsulize capsulized capsulizing capsulizes
captain captained captaining captains
caption captioned captioning captions
captivate captivated captivating captivates
capture captured capturing captures
caracole caracoled caracoling caracoles
caramelise caramelised caramelising caramelises
caramelize caramelized caramelizing caramelizes
carbonate carbonated carbonating carbonates
carbonize carbonized carbonizing carbonizes
carboxylate carboxylated carboxylating carboxylates
carburize carburized carburizing carburizes
carcass carcassed carcassing carcasses
card carded carding cards
care cared caring cares
careen careened careening careens
career careered careering careers
caress caressed caressing caresses
carhop carhopped carhopping carhops
caricature caricatured caricaturing caricatures
carjack carjacked carjacking carjacks
cark carked carking carks
carnalize carnalized carnalizing carnalizes
carnify carnified carnifying carnifies
carny carnied carnying carnies
carom caromed caroming caroms
carouse caroused carousing carouses
carp carped carping carps
carpenter carpentered carpentering carpenters
carpet carpeted carpeting carpets
carpetbag carpetbagged carpetbagging carpetbags
carpool carpooled carpooling carpools
carry carried carrying carries
cart carted carting carts
carton cartoned cartoning cartons
cartoon cartooned cartooning cartoons
cartwheel cartwheeled cartwheeling cartwheels
carve carved carving carves
cascade cascaded cascading cascades
case cased casing cases
caseate caseated caseating caseates
caseharden casehardened casehardening casehardens
cash cashed cashing cashes
cashier cashiered cashiering cashiers
cask casked casking casks
casket casketed casketing caskets
casserole casseroled casseroling casseroles
cast cast casting casts
castigate castigated castigating castigates
castle castled castling castles
castrate castrated castrating castrates
cat catted catting cats
catabolize catabolized catabolizing catabolizes
catalog cataloged cataloging catalogs
catalogue catalogued cataloguing catalogues
catalyze catalyzed catalyzing catalyzes
catapult catapulted catapulting catapults
catcall catcalled catcalling catcalls
catch caught catching catches
catechise catechised catechising catechises
catechize catechized catechizing catechizes
categorize categorized categorizing categorizes
catenate catenated catenating catenates
cater catered catering caters
caterwaul caterwauled caterwauling caterwauls
cathect cathected cathecting cathects
catheterize catheterized catheterizing catheterizes
catholicize catholicized catholicizing catholicizes
catnap catnapped catnapping catnaps
caulk caulked caulking caulks
cause caused causing causes
causeway causewayed causewaying causeways
cauterize cauterized cauterizing cauterizes
caution cautioned cautioning cautions
cavalier cavaliered cavaliering cavaliers
cave caved caving caves
cavern caverned caverning caverns
cavort cavorted cavorting cavorts
caw cawed cawing caws
cease ceased ceasing ceases
cede ceded ceding cedes
celebrate celebrated celebrating celebrates
cellar cellared cellaring cellars
cement cemented cementing cements
cense censed censing censes
censor censored censoring censors
censure censured censuring censures
census censused censusing censuses
center centered centering centers
centralize centralized centralizing centralizes
centre centred centring, 2
centrifuge centrifuged centrifuging centrifuges
cere cered cering ceres
cerebrate cerebrated cerebrating cerebrates
certificate certificated certificating certificates
certify certified certifying certifies
chafe chafed chafing chafes
chaff chaffed chaffing chaffs
chaffer chaffered chaffering chaffers
chain chained chaining chains
chainsaw chainsawed chainsawing chainsaws
chair chaired chairing chairs
chalk chalked chalking chalks
challenge challenged challenging challenges
chamber chambered chambering chambers
chamfer chamfered chamfering chamfers
chammy chammied chammying chammies
chamois chamoised chamoising chamoises
champ champed champing champs
champion championed championing champions
chance chanced chancing chances
chandelle chandelled chandelling chandelles
change changed changing changes
channelize channelized channelizing channelizes
chant chanted chanting chants
chaperon chaperoned chaperoning chaperons
chaperone chaperoned chaperoning chaperones
chapter chaptered chaptering chapters
character charactered charactering characters
characterize characterized characterizing characterizes
charbroil charbroiled charbroiling charbroils
charcoal charcoaled charcoaling charcoals
charge charged charging charges
chariot charioted charioting chariots
charm charmed charming charms
chart charted charting charts
charter chartered chartering charters
chase chased chasing chases
chasse chassed chasseing chasses
chasten chastened chastening chastens
chastise chastised chastising chastises
chat chatted chatting chats
chatter chattered chattering chatters
chauffeur chauffeured chauffeuring chauffeurs
chaw chawed chawing chaws
cheapen cheapened cheapening cheapens
cheat cheated cheating cheats
check checked checking checks
checker checkered checkering checkers
checkerboard checkerboarded checkerboarding checkerboards
checkmate checkmated checkmating checkmates
checkrow checkrowed checkrowing checkrows
cheek cheeked cheeking cheeks
cheep cheeped cheeping cheeps
cheer cheered cheering cheers
cheerlead cheerled cheerleading cheerleads
cheese cheesed cheesing cheeses
chelate chelated chelating chelates
chemisorb chemisorbed chemisorbing chemisorbs
chequer chequered chequering chequers
cherish cherished cherishing cherishes
chevy chevied chevying chevies
chew chewed chewing chews
chicane chicaned chicaning chicanes
chicken chickened chickening chickens
childproof childproofed childproofing childproofs
chill chilled chilling chills
chime chimed chiming chimes
chimney chimneyed chimneying chimneys
chine chined chining chines
chink chinked chinking chinks
chip chipped chipping chips
chipper chippered chippering chippers
chirk chirked chirking chirks
chirp chirped chirping chirps
chirr chirred chirring chirrs,
chitchat chitchatted chitchatting chitchats
chitter chittered chittering chitters
chivvy chivvied chivvying chivvies
chivy chivied chivying chivies
chlorinate chlorinated chlorinating chlorinates
chloroform chloroformed chloroforming chloroforms
chock chocked chocking chocks
choir choired choiring choirs
choke choked choking chokes
chomp chomped chomping chomps
chondrify chondrified chondrifying chondrifies
choose chose chosen choosing
chop chopped chopping chops
chopper choppered choppering choppers
chord chorded chording chords
choreograph choreographed choreographing choreographs
chortle chortled chortling chortles
chouse choused chousing chouses
chow chowed chowing chows
christen christened christening christens
chrome chromed chroming chromes
chronicle chronicled chronicling chronicles
chronologize chronologized chronologizing chronologizes
chuck chucked chucking chucks
chuckle chuckled chuckling chuckles
chuff chuffed chuffing chuffs
chug chugged chugging chugs
chum chummed chumming chums
chump chumped chumping chumps
chunk chunked chunking chunks
church churched churching churches
churn churned churning churns
churr churred churring churrs
chute chuted chuting chutes
cicatrize cicatrized cicatrizing cicatrizes
cinch cinched cinching cinches
cincture cinctured cincturing cinctures
cinder cindered cindering cinders
cinematize cinematized cinematizing cinematizes
cipher ciphered ciphering ciphers
